里,gas_station_count
臺北市內湖區湖元里,5
臺北市北投區八仙里,3
臺北市文山區萬盛里,2
臺北市中山區興亞里,2
臺北市北投區建民里,2
臺北市內湖區西康里,2
臺北市中山區大佳里,2
臺北市士林區福林里,2
臺北市大安區民輝里,2
臺北市內湖區港墘里,2
臺北市內湖區瑞陽里,1
臺北市文山區木柵里,1
臺北市內湖區葫洲里,1
臺北市內湖區週美里,1
臺北市內湖區五分里,1
臺北市內湖區蘆洲里,1
臺北市文山區木新里,1
臺北市內湖區石潭里,1
臺北市文山區景仁里,1
臺北市文山區興泰里,1
臺北市中正區林興里,1
臺北市文山區興業里,1
臺北市文山區景東里,1
臺北市北投區立賢里,1
臺北市北投區一德里,1
臺北市信義區興雅里,1
臺北市南港區東明里,1
臺北市南港區西新里,1
臺北市萬華區糖廍里,1
臺北市萬華區福音里,1
臺北市萬華區全德里,1
臺北市萬華區新安里,1
臺北市中正區梅花里,1
臺北市士林區前港里,1
臺北市中正區廈安里,1
臺北市大安區通化里,1
臺北市大安區龍門里,1
臺北市大安區龍圖里,1
臺北市大安區永康里,1
臺北市大安區黎和里,1
臺北市大安區臨江里,1
臺北市中山區埤頭里,1
臺北市中山區行孝里,1
臺北市中山區成功里,1
臺北市中山區中原里,1
臺北市士林區永倫里,1
臺北市松山區莊敬里,1
臺北市士林區葫東里,1
臺北市士林區陽明里,1
臺北市士林區仁勇里,1
臺北市士林區名山里,1
臺北市士林區福順里,1
臺北市北投區福興里,1
臺北市松山區精忠里,1
臺北市松山區中正里,1
臺北市松山區富錦里,1
臺北市松山區吉祥里,1
臺北市松山區新東里,1
臺北市大同區民權里,1
臺北市信義區廣居里,1
